thrust, duty_cycle
0.76872,2000
0.76872,1999
0.76872,1998
0.76872,1997
0.76872,1996
0.76917,1995
0.76979,1994
0.7639,1993
0.76123,1992
0.76219,1991
0.75272,1990
0.73776,1989
0.73324,1988
0.73467,1987
0.73463,1986
0.7346,1985
0.73524,1984
0.73777,1983
0.7348,1982
0.73046,1981
0.72825,1980
0.72922,1979
0.72696,1978
0.71838,1977
0.71822,1976
0.71945,1975
0.72702,1974
0.73209,1973
0.73472,1972
0.73484,1971
0.72984,1970
0.71244,1969
0.70382,1968
0.70045,1967
0.6983,1966
0.69975,1965
0.69752,1964
0.69456,1963
0.69606,1962
0.69452,1961
0.69832,1960
0.7057,1959
0.70547,1958
0.70679,1957
0.70005,1956
0.68947,1955
0.68902,1954
0.69402,1953
0.69548,1952
0.689,1951
0.67508,1950
0.66666,1949
0.66503,1948
0.67208,1947
0.67464,1946
0.67987,1945
0.67484,1944
0.67015,1943
0.66905,1942
0.66732,1941
0.66068,1940
0.663,1939
0.66393,1938
0.66678,1937
0.66933,1936
0.67441,1935
0.67463,1934
0.67396,1933
0.67709,1932
0.67375,1931
0.66178,1930
0.6577,1929
0.658,1928
0.6584,1927
0.6519,1926
0.64722,1925
0.64981,1924
0.64647,1923
0.64414,1922
0.6483,1921
0.64828,1920
0.64891,1919
0.64915,1918
0.65273,1917
0.65526,1916
0.65692,1915
0.65426,1914
0.64779,1913
0.64703,1912
0.63591,1911
0.6166,1910
0.61609,1909
0.62018,1908
0.62196,1907
0.62484,1906
0.62131,1905
0.61916,1904
0.61743,1903
0.61679,1902
0.61934,1901
0.62004,1900
0.61659,1899
0.615,1898
0.62268,1897
0.62656,1896
0.62751,1895
0.62651,1894
0.6251,1893
0.62374,1892
0.60868,1891
0.59537,1890
0.59494,1889
0.60166,1888
0.60355,1887
0.60011,1886
0.60253,1885
0.6026,1884
0.6084,1883
0.61748,1882
0.61958,1881
0.61731,1880
0.61226,1879
0.60735,1878
0.60673,1877
0.60291,1876
0.59821,1875
0.59825,1874
0.59586,1873
0.58913,1872
0.5818,1871
0.57984,1870
0.58323,1869
0.5825,1868
0.5806,1867
0.58322,1866
0.58172,1865
0.57995,1864
0.57793,1863
0.57884,1862
0.57993,1861
0.57978,1860
0.57918,1859
0.57845,1858
0.5825,1857
0.58353,1856
0.58172,1855
0.58148,1854
0.57759,1853
0.56204,1852
0.55163,1851
0.54797,1850
0.54968,1849
0.55023,1848
0.54622,1847
0.54732,1846
0.55035,1845
0.55131,1844
0.55187,1843
0.55151,1842
0.56015,1841
0.56622,1840
0.56485,1839
0.56098,1838
0.5621,1837
0.56011,1836
0.55674,1835
0.55278,1834
0.5514,1833
0.53658,1832
0.53594,1831
0.54049,1830
0.54292,1829
0.54373,1828
0.54377,1827
0.54102,1826
0.5408,1825
0.53986,1824
0.54426,1823
0.54194,1822
0.53694,1821
0.53505,1820
0.53993,1819
0.54426,1818
0.54337,1817
0.54607,1816
0.54549,1815
0.54044,1814
0.52644,1813
0.52476,1812
0.52008,1811
0.51666,1810
0.51609,1809
0.51656,1808
0.51602,1807
0.51848,1806
0.52258,1805
0.52456,1804
0.52744,1803
0.53025,1802
0.52622,1801
0.52158,1800
0.51889,1799
0.52038,1798
0.52027,1797
0.51783,1796
0.51873,1795
0.51376,1794
0.50159,1793
0.50307,1792
0.50689,1791
0.50813,1790
0.51015,1789
0.51114,1788
0.50635,1787
0.50426,1786
0.50234,1785
0.5012,1784
0.49916,1783
0.50031,1782
0.49701,1781
0.49468,1780
0.49419,1779
0.49288,1778
0.49248,1777
0.49208,1776
0.48612,1775
0.477,1774
0.47692,1773
0.47595,1772
0.47571,1771
0.47485,1770
0.47467,1769
0.47492,1768
0.47846,1767
0.47872,1766
0.47733,1765
0.48081,1764
0.48409,1763
0.48198,1762
0.47935,1761
0.48372,1760
0.48644,1759
0.48374,1758
0.47981,1757
0.47685,1756
0.47619,1755
0.46794,1754
0.45703,1753
0.46142,1752
0.46276,1751
0.46219,1750
0.46091,1749
0.45561,1748
0.45176,1747
0.4525,1746
0.45207,1745
0.4527,1744
0.45243,1743
0.45316,1742
0.45643,1741
0.45667,1740
0.46044,1739
0.46149,1738
0.46078,1737
0.46181,1736
0.4493,1735
0.4359,1734
0.43245,1733
0.4319,1732
0.42989,1731
0.42857,1730
0.42989,1729
0.43578,1728
0.4358,1727
0.43365,1726
0.4338,1725
0.43659,1724
0.43756,1723
0.43606,1722
0.4366,1721
0.43487,1720
0.4348,1719
0.43391,1718
0.43102,1717
0.43417,1716
0.42589,1715
0.41564,1714
0.41402,1713
0.41603,1712
0.41778,1711
0.4182,1710
0.41628,1709
0.41432,1708
0.41273,1707
0.41332,1706
0.41292,1705
0.41265,1704
0.41148,1703
0.41641,1702
0.41989,1701
0.41968,1700
0.42068,1699
0.41936,1698
0.41678,1697
0.40598,1696
0.39867,1695
0.39579,1694
0.3976,1693
0.39432,1692
0.39221,1691
0.39435,1690
0.39235,1689
0.39152,1688
0.39248,1687
0.39716,1686
0.39972,1685
0.40116,1684
0.40521,1683
0.40419,1682
0.39836,1681
0.39594,1680
0.39666,1679
0.39652,1678
0.39325,1677
0.38061,1676
0.37695,1675
0.381,1674
0.38699,1673
0.39105,1672
0.39279,1671
0.39035,1670
0.38691,1669
0.38587,1668
0.38653,1667
0.38441,1666
0.38511,1665
0.38131,1664
0.38074,1663
0.38227,1662
0.38202,1661
0.38338,1660
0.38614,1659
0.38036,1658
0.37003,1657
0.36678,1656
0.3677,1655
0.36651,1654
0.3666,1653
0.36619,1652
0.36294,1651
0.36325,1650
0.36473,1649
0.36065,1648
0.35953,1647
0.36279,1646
0.364,1645
0.36353,1644
0.36413,1643
0.36267,1642
0.3628,1641
0.3633,1640
0.36294,1639
0.35874,1638
0.34928,1637
0.34599,1636
0.34793,1635
0.34994,1634
0.35296,1633
0.35332,1632
0.3548,1631
0.35227,1630
0.35189,1629
0.3487,1628
0.34716,1627
0.34464,1626
0.34423,1625
0.34337,1624
0.34176,1623
0.34295,1622
0.34303,1621
0.34555,1620
0.34239,1619
0.33546,1618
0.33322,1617
